Nr.,Kurztext,Von,Mittel,Bis,Mat,Lohn,Ger,,,
1043112005,"Fernwärmeleitung,PE,6 bar,1-fach,DN 20","28,2","37,1","46,1","28,2","9,23",0,€/m,ML,LV
1043112010,"Fernwärmeleitung,PE,6 bar,1-fach,DN 25","33,3","43,7","54,2","33,9","10,04",0,€/m,ML,LV
1043112015,"Fernwärmeleitung,PE,6 bar,1-fach,DN 32","37,5","49,3","61,2","38,5","11,24",0,€/m,ML,LV
1043112020,"Fernwärmeleitung,PE,6 bar,1-fach,DN 40","52,1","68,5","84,9","54,2","14,86",0,€/m,ML,LV
1043112025,"Fernwärmeleitung,PE,6 bar,1-fach,DN 50","71,3","93,9",117,"77,7","16,86",0,€/m,ML,LV
1043112030,"Fernwärmeleitung,PE,6 bar,1-fach,DN 65","79,6",105,"130,5","87,4","18,07",0,€/m,ML,LV
1043112035,"Fernwärmeleitung,PE,6 bar,1-fach,DN 80","94,7",125,"154,5","104,5","20,88",0,€/m,ML,LV
1043112040,"Fernwärmeleitung,PE,6 bar,1-fach,DN 100",113,"148,5",184,"124,5","24,89",0,€/m,ML,LV
1043112045,"Fernwärmeleitung,PE,6 bar,2-fach,DN 20","43,7","57,3",71,"46,4","11,24",0,€/m,ML,LV
1043112050,"Fernwärmeleitung,PE,6 bar,2-fach,DN 25","56,5","74,3","92,2",60,"14,86",0,€/m,ML,LV
1043112055,"Fernwärmeleitung,PE,6 bar,2-fach,DN 32",67,"88,1",110,"71,9","16,86",0,€/m,ML,LV
1043112060,"Fernwärmeleitung,PE,6 bar,2-fach,DN 40","85,7",113,"140,5","92,6","20,88",0,€/m,ML,LV
1043112065,"Fernwärmeleitung,PE,6 bar,2-fach,DN 50","112,5","147,5",183,"123,5","25,29",0,€/m,ML,LV
1043112070,"Fernwärmeleitung,PE,6,4-fach,DN 16/20","81,2",107,"132,5","89,3","18,07",0,€/m,ML,LV
1043112075,"Fernwärmeleitung,PE,6,4-fach,DN16/20/25","87,1","114,5","141,5","96,6","18,07",0,€/m,ML,LV
1043112080,"Fernwärmeleitung,PE,6,4-fach,DN 16/25","92,3",121,150,"103,5","18,07",0,€/m,ML,LV
1043112085,"Fernwärmeleitung,PE,6,4-fach,DN 20/32","107,5","141,5",175,121,"20,88",0,€/m,ML,LV
1043112100,"Fernwärmeleitung,PE,10 bar,1-fach,DN 16","25,6","33,7","41,8","25,9","8,03",0,€/m,ML,LV
1043112105,"Fernwärmeleitung,PE,10 bar,1-fach,DN 20","29,3","38,5","47,9","29,6","9,23",0,€/m,ML,LV
1043112110,"Fernwärmeleitung,PE,10 bar,1-fach,DN 25",36,"47,5","58,8","37,7","10,04",0,€/m,ML,LV
1043112115,"Fernwärmeleitung,PE,10 bar,1-fach,DN 32","46,8","61,6","76,5","50,8","11,24",0,€/m,ML,LV
1043112120,"Fernwärmeleitung,PE,10 bar,1-fach,DN 40","59,4","78,2","96,9","63,9","14,86",0,€/m,ML,LV
1043112125,"Fernwärmeleitung,PE,10 bar,1-fach,DN 50",92,121,151,105,"16,86",0,€/m,ML,LV
1043112130,"Fernwärmeleitung,PE,10,2-fach,DN 20/16","47,6","62,6","77,6","51,7","11,24",0,€/m,ML,LV
1043112135,"Fernwärmeleitung,PE,10,2-fach,DN 25/16","54,9","72,4","89,8","58,1","14,86",0,€/m,ML,LV
1043112140,"Fernwärmeleitung,PE,10,2-fach,DN 32/20",67,"88,1",110,"71,9","16,86",0,€/m,ML,LV
1043112145,"Fernwärmeleitung,PE,10,2-fach,DN 40/25","81,9",108,"133,5","87,8","20,88",0,€/m,ML,LV
1043112505,"Verschraubung, Fernwärme, 6 bar, DN 20",20,"28,7","42,1","16,7","11,24",0,€/m,ML,LV
1043112510,"Verschraubung, Fernwärme, 6 bar, DN 25","28,2","36,2","46,1",25,"12,05",0,€/m,ML,LV
1043112515,"Verschraubung, Fernwärme, 6 bar, DN 32","42,7","51,5","60,5","38,9","13,65",0,€/m,ML,LV
